Part, footprint, correction
NUD3105LT1G,SOT-23,180
Bnx029-01, BNX025H01B, 180
BSS84,SOT-23,180
"4 x 10K ohm","R_Array_Concave_4x0603", -90
TCA9534APWR,"TSSOP-16_4.4x5mm_P0.65mm", -90
"330uF 35V","C_Elec_10x10.2",180
"ZVN4525G","SOT-223-3_TabPin2",180
"ZXP2106G","SOT-223-3_TabPin2",180
"TLV2401DBV","SOT-23-5", 180
"DMP3028LSD","SO-8_3.9x4.9mm_P1.27mm",-90
"DMN3042L","SOT-23",180.0
"LP5907MFX-3.3","SOT-23-5",180
"LP5907MFX-2.8","SOT-23-5",180
"LMP7731MF","SOT-23-5",180
"LMP7731","TSOT-23-5_HandSoldering",180
"LMP7731","SOT-23-5",180
"TSV914","TSSOP-14_4.4x5mm_P0.65mm",270
"Conn_01x02","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",180
"Conn_01x02_Male","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",180
"100uF","CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder",180
"ISL60002DAH333Z-TK","SOT-23",180
"OPA376xxDBVR","SOT-23-5",180
"OPA376","SOT-23-5",180
"MCP4728","MSOP-10_3x3mm_P0.5mm",270
"ISO1541","SOIC-8_3.9x4.9mm_P1.27mm",270
"MCP23008-E_SO","SOIC-18W_7.5x11.6mm_P1.27mm",270
"Conn_01x04_i2c","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",180
"JST S2B-PH-K","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",180
"ZTX851","TO-92L_Inline",180
"ATtiny45-20XU","SOIC-8_5.275x5.275mm_P1.27mm",270
"Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",270
"AVR_SPI_PROG","PinHeader_2x03_P2.54mm_Vertical",270
"LMC567","SOIC-8_3.9x4.9mm_P1.27mm",270
"USB_C_Plug_USB2.0","USB_C_Receptacle_Palconn_UTC16-G",180
"TP5552","MSOP-8_3x3mm_P0.65mm",270
"ADA4522-1ARZ","SOIC-8_3.9x4.9mm_P1.27mm",270
"RS822XM","MSOP-8_3x3mm_P0.65mm",270
"MMBT4401","SOT-23",180
"FZT851","SOT-223-3_TabPin2",180
"STN851","SOT-223-3_TabPin2",180
"LMC6482","SOIC-8_3.9x4.9mm_P1.27mm",270
"TL431BIDR2G","SOIC-8_3.9x4.9mm_P1.27mm",270
"BFP740","TSFP-4",270
"BFR193W","SOT-323_SC-70",180
"BFP450","BFP640ESDH6327XTSA1",270
"E0505S-1WR3","E0505S-1WR3",270
"Conn_01x05","JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical",180
"OPA2277","SO-8_3.9x4.9mm_P1.27mm",270
"AD630ARZ","SOIC-20W_7.5x12.8mm_P1.27mm",270
"LM8261M5X/NOPB","SOT-23-5",180
"AD8605","SOT-23-5",180
"47uF","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",180
"100K","Potentiometer_Bourns_3296W_Vertical",180
"B0305S-1WR2","Converter_DCDC_muRata_CRE1xxxxxx3C_THT",270
"AD8237ARMZ","MSOP-8_3x3mm_P0.65mm",270
"ADUM1250","SOIC-8_3.9x4.9mm_P1.27mm",90
"RP2040","RP2040-QFN-56",270
"W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",270
"NCP1117-3.3_SOT223","SOT-223-3_TabPin2",180
"LM2733XMF","SOT-23-5",180
"CP","CP_EIA-7343-43_Kemet-X_Pad2.25x2.55mm_HandSolder",180
"INA326","MSOP-8_3x3mm_P0.65mm",270
"TLV431BSN1T1G","SOT-23",180
"AD8237","MSOP-8_3x3mm_P0.65mm",270
"AD8293G160","SOT-23-8",180
"MMBT3904","SOT-23",180
"ADUM1411","SOIC-16W_7.5x10.3mm_P1.27mm",270
"LTC2642CMS-12","MSOP-10_3x3mm_P0.5mm",270
"10uF","CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder",180
"TPS7A3001","MSOP-8-1EP_3x3mm_P0.65mm_EP1.68x1.88mm",270
"BC847C","SOT-23",180
"BC857C","SOT-23",180
"REF3425IDBVR","SOT-23-6",180
"AQW282SX","SO-4_4.4x4.3mm_P2.54mm",90
"HX711","SOIC-16_3.9x9.9mm_P1.27mm",270
"HX710B","SOP-8_3.9x4.9mm_P1.27mm",270
"HX710C","SOP-8_3.9x4.9mm_P1.27mm",270
"REF3020","SOT-23",180
"TL431DBZ","SOT-23",180
"MMBT2222A","SOT-23",180
"Conn_01x03_Female","PinSocket_1x03_P2.54mm_Vertical",90
"LP3985-2.8","SOT-23-5",180
"ACS712xLCTR-05B","SOIC-8_3.9x4.9mm_P1.27mm",270
